,Country,Year,Asset investment in renewables,Electricity Consumption,Electricity generation,Electricity generation from other,Electricity Production,Energy intensity-primary energy,Primary Energy-Consumption,Renewables-Consumption Prim Energy,Renewable Energy Solar (Installed capacity),Renewable Energy Wind  (Installed capacity),Renewable installed PV Power,Renewable installed Wind Power,Renewable share electricity output,Renewable share electricity production,Renewable share energy of TFEC,Total electricity output,Total final energy consumption (TFEC),Wind and solar share electricity production
15,United States,2007,26.2,3922.0,4431.837021,12.7020304,4350.0,6.367571447,96.99645751,1.6794945419999998,160.0,5186.0,0.207,5.061000000000002,8.367763936000001,8.91,6.304128198,4323915.0,59567475.18,1.25
16,China,2008,22.5,2989.0,3495.76,0.0,3467.0,8.888790121,93.44496937,0.326148086,54.0,4187.728000000001,0.040000000000000015,6.303999999999999,17.73744406,17.74,14.60199657,3467185.0,54691192.12,0.44
17,Germany,2008,16.7,543.0,640.686,24.7124,640.0,4.099406678,14.02825473,0.80695724,1950.0,678.0,1.9579999999999995,1.6549999999999976,14.6992339,15.5,8.592248257,634380.0,8551613.944,7.37
18,India,2008,5.199999999999998,619.0,828.4135525,0.0,848.0,5.56214241,20.00481722,0.228126107,15.500000000000002,2398.0,0.0,1.81,16.50983374,16.51,43.63288301,848355.0,16342885.25,1.65
19,United States,2008,26.5,3907.0,4390.106117,12.28199821,4368.0,6.22245169,94.60071171,2.107576808,298.0,8136.0,0.3380000000000001,8.506,9.003541347,9.53,6.845540835,4342980.0,58277353.04,1.73
20,China,2009,31.9,3223.0,3714.651,0.0,3715.0,8.693872841000001,97.52314741,0.524562932,161.8,9211.679999999997,0.15999999999999998,13.595,17.863798199999994,17.86,13.91196227,3715061.0,56930962.32,0.74
21,Germany,2009,25.6,514.0,595.624,21.1252,596.0,4.068098366,13.15429711,0.833846835,4447.0,2938.0,3.806,1.875,16.07855368,16.87,9.63006157,589966.0,8118725.87,7.95
22,India,2009,4.0,669.0,879.70725,0.0,917.0,5.6467119320000005,21.52434691,0.265121017,2.599999999999998,682.5,0.0,1.270999999999999,15.66005525,15.66,40.77082759,917302.0,17750414.76,2.06
23,United States,2009,15.1,3725.0,4206.493361,12.52409457,4188.0,6.084563271,89.92401795,2.394483978,435.0,9645.0,0.44699999999999984,9.898000000000003,10.29184507,10.78,7.354404755,4165395.0,55341324.5,2.25
24,China,2010,35.0,3626.0,4207.16,19.85186,4208.0,8.679178537,104.2840024,0.768616625,607.0,12034.07,0.5,16.482,18.62282605,18.83,12.88431031,4197204.0,61093297.29,1.08
25,Germany,2010,37.1,547.0,633.0930000000002,26.4293,633.0,4.115335557,13.70618966,0.905880564,7440.0,1171.0,7.411000000000001,1.4370000000000047,16.72707367,17.57,10.29351964,626583.0,8638160.04,8.19
26,India,2010,6.4,727.0,937.4680375,0.0,979.0,5.353179242,22.55470758,0.31827361,11.7,2259.0,0.0,2.1390000000000007,16.04374444,16.04,39.48150873,979416.0,18684425.28,2.02
27,United States,2010,27.2,3894.0,4394.2509850000015,13.46426351,4378.0,6.072479221,92.97258881,2.756646249,852.0,4839.0,0.42400000000000015,5.111999999999996,10.12035515,10.61,7.505172055,4354363.0,57655200.55,2.75
28,China,2011,39.9,4052.0,4713.019,21.669,4716.0,8.502319501,112.54080829999998,1.049599256,2086.0,16721.122,2.5,20.446000000000005,16.76177043,16.95,11.69579699,4704861.0,65459079.1,1.55
29,Germany,2011,35.3,541.0,613.070326,25.3062,613.0,3.773036713,13.20216248,1.112391585,7910.0,1809.0,7.4899999999999975,1.8459999999999963,20.38328272,21.14,11.39435591,607228.0,8211583.065,11.55
30,India,2011,11.2,803.0,1034.011325,0.0,1075.0,5.232985711,23.88045003,0.393995542,26.00000000000001,2995.0,0.0,3.0189999999999997,17.31696286,17.32,38.93174021,1074536.0,19401668.04,2.36
31,United States,2011,45.3,3885.0,4363.377155,14.80104819,4349.0,5.90983675,92.08836192,3.090966438,1342.0,6541.0,1.92,6.738999999999997,12.22571352,12.69,8.164451646,4326635.0,57123701.65,3.43
32,China,2012,55.0,4326.0,4987.553,20.27989,4994.0,8.190299441,117.04535020000002,1.356393533,3611.0,15242.273,3.7,12.590999999999996,19.96624894,20.12,11.96856703,4984731.0,67426526.34,2.05
33,Germany,2012,26.3,540.0,630.149,26.1096,630.0,3.771810715,13.36885139,1.252520955,8160.0,2267.0,7.600000000000001,2.210000000000001,23.00045854,23.75,12.01513573,623718.0,8300447.226,12.56
34,India,2012,6.5,839.0,1091.837883,0.0,1123.0,5.199643316,25.11341421,0.460993993,500.4,1120.7000000000007,0.0,2.337,15.73297336,15.73,38.39089015,1123049.0,19869435.09,2.87
35,United States,2012,35.0,3831.0,4310.5692020000015,14.50250746,4291.0,5.6929952460000015,89.68776503,3.325099805,3946.0,13399.0,3.37,13.088,12.00739706,12.41,8.481450407999999,4270884.0,56628804.85,4.06
36,China,2013,61.2,4718.0,5431.635,22.9827266,5447.0,7.851333802999999,121.37465690000002,1.795909085,11040.0,15133.657,12.72,16.088000000000008,20.29622738,20.45,11.8381669,5436567.0,69906541.02,2.88
37,Germany,2013,13.4,537.0,638.73,26.18,639.0,3.831755977,13.74595931,1.306625139,2634.0,2498.0,3.3100000000000023,2.9800000000000004,24.07254975,24.76,12.08907875,632945.0,8524131.747000001,13.24
38,India,2013,4.6,890.0,1146.139133,0.0,1191.0,4.98862544,26.0769452,0.518092339,360.2000000000001,1120.7000000000007,0.0,1.7289999999999992,17.34931383,17.35,37.84984118,1193480.0,20586036.18,3.07
39,United States,2013,29.1,3873.0,4330.292888,14.30566562,4306.0,5.676035631,92.09548018,3.756286027,5717.0,898.0,4.75,1.1030000000000015,12.63791912,13.03,8.713261572999999,4287114.0,57984073.56,4.84
40,China,2014,86.69999999999997,4939.0,5794.4569999999985,26.14633,5679.0,7.104220001,124.1979329,2.238405372,10640.0,20088.600000000006,10.66,23.350999999999985,22.60915378,22.79,12.22382301,5665745.0,71536310.66,3.27
41,Germany,2014,18.7,526.0,627.7651017999998,26.913,628.0,3.640399424,13.16627917,1.429576037,1189.0,5137.0,2.479999999999997,4.914999999999999,26.13009657,26.82,13.37887823,621938.0,8130876.006,15.22
42,India,2014,6.1,963.0,1262.219968,0.2068,1294.0,4.960149499,27.86167507,0.5798712429999999,2746.508,4044.8999999999983,0.0,2.3150000000000013,16.25383982,16.25,36.65183786,1287398.0,21562801.38,3.27
43,United States,2014,31.7,3894.0,4363.326407000001,14.07183718,4339.0,5.621145713,93.05416796,4.039290073,4606.0,4259.0,6.24,4.768999999999991,12.95382709,13.36,8.754308953999999,4319156.0,59116385.16,5.34
44,China,2015,118.0,5104.0,5814.573,26.783590000000004,5860.0,6.690069702000001,125.3768906,2.623551642,15150.000000000005,34228.599999999984,13.150000000000002,30.597000000000023,23.92681717,24.13,12.41335257,5844158.0,73183146.53,3.94
45,Germany,2015,14.0,528.0,648.1492806,27.13520869,647.0,3.603094155,13.39985761,1.659035721,1324.0,5966.0,1.4600000000000009,5.7760000000000025,29.23177012,29.88,14.2062527,640967.0,8327614.785,18.53
46,India,2015,7.5,1032.0,1317.29813,0.137685,1383.0,4.730910449,28.77081861,0.5973143329999999,1920.9760000000006,2622.8899999999994,0.0,2.623000000000001,15.34305035,15.34,36.02122257,1383004.0,22241457.76,3.5
47,United States,2015,37.40000000000001,3895.0,4348.66944,14.75186233,4317.0,5.40839254,92.14900449,4.248824689,5791.0,8341.020000000004,7.350000000000001,8.112000000000009,13.22859321,13.63,8.716935867,4297048.0,58483061.91,5.86
48,China,2016,101.4,5367.0,6133.16,42.1935,6165.0,5.40839254,126.9507368,3.4396675560000003,34260.0,17469.160000000018,34.56999999999999,23.329999999999984,13.22859321,25.4,8.716935867,4297048.0,58483061.91,5.18
49,Germany,2016,14.500000000000002,528.0,650.707344,27.543000000000006,648.0,5.40839254,13.61972299,1.643934157,1455.0,4855.0,0.9900000000000021,5.076999999999998,13.22859321,30.02,8.716935867,4297048.0,58483061.91,18.16
50,India,2016,12.9,1098.0,1401.741765,0.104105,1463.0,5.40839254,30.06742863,0.7295890829999999,4285.537,3612.25,0.0,3.6119999999999983,13.22859321,15.49,8.716935867,4297048.0,58483061.91,4.12
51,United States,2016,41.0,3890.0,4347.910814,14.35359482,4316.0,5.40839254,92.017799,4.807667392,11274.0,8712.979999999996,15.329999999999998,8.192999999999998,13.22859321,15.42,8.716935867,4297048.0,58483061.91,7.07
