,Country,Year,variable,Total final energy consumption (TFEC),Wind and solar share electricity production,Asset investment in renewables,Renewable Energy Wind  (Installed capacity),Energy intensity-primary energy,Renewable installed PV Power,Electricity Production,Primary Energy-Consumption,Renewable installed Wind Power,Renewable Energy Solar (Installed capacity),Renewables-Consumption,Electricity Consumption,Electricity generation from other,Renewable share electricity output,Renewable share electricity production,Electricity generation,Renewable share energy of TFEC,Total electricity output
36,India,2014.0,Total final energy consumption (TFEC),21562801.38,3.27,2.0125,4044.8999999999983,4.960149499,0.0,1294.0,27.86167507,2.3150000000000013,2746.508,0.5798712429999999,963.0,0.2068,16.25383982,16.25,1262.219968,36.65183786,1287398.0
37,India,2015.0,Total final energy consumption (TFEC),22241457.76,3.5,2.1875,2622.8899999999994,4.730910449,0.0,1383.0,28.77081861,2.623000000000001,1920.9760000000006,0.5973143329999999,1032.0,0.137685,15.34305035,15.34,1317.29813,36.02122257,1383004.0
38,India,2016.0,Total final energy consumption (TFEC),22241457.76,4.12,2.8625,3612.25,4.730910449,0.0,1463.0,30.06742863,3.6119999999999983,4285.537,0.7295890829999999,1098.0,0.104105,15.34305035,15.49,1401.741765,36.02122257,1383004.0
39,United States,2004.0,Total final energy consumption (TFEC),58840911.06,0.75,1.85,461.0,6.790206059,0.10099999999999998,4175.0,96.39671419,0.35100000000000003,38.0,1.152707468,3716.0,14.75084734,8.630185532,9.22,4231.682747,5.477656518,4148080.0
40,United States,2005.0,Total final energy consumption (TFEC),58889188.25,0.85,2.4,2250.0,6.60173784,0.10299999999999998,4294.0,96.43731384,2.4239999999999995,79.0,1.241083165,3811.0,13.35915624,8.578465534,9.12,4322.786632,5.841090873,4268887.0
41,United States,2006.0,Total final energy consumption (TFEC),58707586.93,1.06,4.199999999999998,2623.0,6.369407404,0.14500000000000002,4301.0,95.65836227,2.4540000000000006,105.0,1.468457098,3818.0,13.52413552,9.244631183,9.79,4330.951641,6.396513971,4275011.0
42,United States,2007.0,Total final energy consumption (TFEC),59567475.18,1.25,4.525,5186.0,6.367571447,0.207,4350.0,96.99645751,5.061000000000002,160.0,1.6794945419999998,3922.0,12.7020304,8.367763936000001,8.91,4431.837021,6.304128198,4323915.0
43,United States,2008.0,Total final energy consumption (TFEC),58277353.04,1.73,4.5625,8136.0,6.22245169,0.3380000000000001,4368.0,94.60071171,8.506,298.0,2.107576808,3907.0,12.28199821,9.003541347,9.53,4390.106117,6.845540835,4342980.0
44,United States,2009.0,Total final energy consumption (TFEC),55341324.5,2.25,3.1375,9645.0,6.084563271,0.44699999999999984,4188.0,89.92401795,9.898000000000003,435.0,2.394483978,3725.0,12.52409457,10.29184507,10.78,4206.493361,7.354404755,4165395.0
45,United States,2010.0,Total final energy consumption (TFEC),57655200.55,2.75,4.65,4839.0,6.072479221,0.42400000000000015,4378.0,92.97258881,5.111999999999996,852.0,2.756646249,3894.0,13.46426351,10.12035515,10.61,4394.2509850000015,7.505172055,4354363.0
46,United States,2011.0,Total final energy consumption (TFEC),57123701.65,3.43,6.9125000000000005,6541.0,5.90983675,1.92,4349.0,92.08836192,6.738999999999997,1342.0,3.090966438,3885.0,14.80104819,12.22571352,12.69,4363.377155,8.164451646,4326635.0
47,United States,2012.0,Total final energy consumption (TFEC),56628804.85,4.06,5.625000000000001,13399.0,5.6929952460000015,3.37,4291.0,89.68776503,13.088,3946.0,3.325099805,3831.0,14.50250746,12.00739706,12.41,4310.5692020000015,8.481450407999999,4270884.0
48,United States,2013.0,Total final energy consumption (TFEC),57984073.56,4.84,4.8875,898.0,5.676035631,4.75,4306.0,92.09548018,1.1030000000000015,5717.0,3.756286027,3873.0,14.30566562,12.63791912,13.03,4330.292888,8.713261572999999,4287114.0
49,United States,2014.0,Total final energy consumption (TFEC),59116385.16,5.34,5.2125,4259.0,5.621145713,6.24,4339.0,93.05416796,4.768999999999991,4606.0,4.039290073,3894.0,14.07183718,12.95382709,13.36,4363.326407000001,8.754308953999999,4319156.0
50,United States,2015.0,Total final energy consumption (TFEC),58483061.91,5.86,5.925000000000002,8341.020000000004,5.40839254,7.350000000000001,4317.0,92.14900449,8.112000000000009,5791.0,4.248824689,3895.0,14.75186233,13.22859321,13.63,4348.66944,8.716935867,4297048.0
51,United States,2016.0,Total final energy consumption (TFEC),58483061.91,7.07,6.375,8712.979999999996,5.40839254,15.329999999999998,4316.0,92.017799,8.192999999999998,11274.0,4.807667392,3890.0,14.35359482,13.22859321,15.42,4347.910814,8.716935867,4297048.0
