Country,Country Code,Time,Time Code,Energy intensity,Renewable electricity share of total electricity output,Renewable energy share of TFEC,Total electricity output,Total final energy consumption (TFEC)
India,IND,2002,YR2002,6672001023.00,1205516116.00,5056944266.00,610502,12583836.53
India,IND,2003,YR2003,6333921729.00,1346942476.00,5084279906.00,650837,12722743.67
India,IND,2004,YR2004,6181107871.00,144825005.00,4972402461.00,683991,13273593.71
India,IND,2005,YR2005,5877519466.00,1661901808.00,4857530875.00,715656,13900527.19
India,IND,2006,YR2006,5661849048.00,1754042472.00,4744372171.00,773784,14552475.55
India,IND,2007,YR2007,5507649299.00,1786408569.00,4586780352.00,823563,15352261.19
India,IND,2008,YR2008,556214241.00,1650983374.00,4363288301.00,848355,16342885.25
India,IND,2009,YR2009,5646711932.00,1566005525.00,4077082759.00,917302,17750414.76
India,IND,2010,YR2010,5353179242.00,1604374444.00,3948150873.00,979416,18684425.28
India,IND,2011,YR2011,5232985711.00,1731696286.00,3893174021.00,1074536,19401668.04
India,IND,2012,YR2012,5199643316.00,1573297336.00,3839089015.00,1123049,19869435.09
India,IND,2013,YR2013,498862544.00,1734931383.00,3784984118.00,1193480,20586036.18
India,IND,2014,YR2014,4960149499.00,1625383982.00,3665183786.00,1287398,21562801.38
India,IND,2015,YR2015,4730910449.00,1534305035.00,3602122257.00,1383004,22241457.76
India,IND,2016,YR2016,..,..,..,..,..
United States,USA,2000,YR2000,7335371396.00,8205996942.00,5429623689.00,4025885,58330543.36
United States,USA,2001,YR2001,7128216809.00,6783992314.00,467857121.00,3838831,57219712.6
United States,USA,2002,YR2002,7082367871.00,8646361178.00,4840779184.00,4026399,57240371.73
United States,USA,2003,YR2003,6904967491.00,8889376121.00,5326282274.00,4054649,58069490.9
United States,USA,2004,YR2004,6790206059.00,8630185532.00,5477656518.00,4148080,58840911.06
United States,USA,2005,YR2005,660173784.00,8578465534.00,5841090873.00,4268887,58889188.25
United States,USA,2006,YR2006,6369407404.00,9244631183.00,6396513971.00,4275011,58707586.93
United States,USA,2007,YR2007,6367571447.00,8367763936.00,6304128198.00,4323915,59567475.18
United States,USA,2008,YR2008,622245169.00,9003541347.00,6845540835.00,4342980,58277353.04
United States,USA,2009,YR2009,6084563271.00,1029184507.00,7354404755.00,4165395,55341324.5
United States,USA,2010,YR2010,6072479221.00,1012035515.00,7505172055.00,4354363,57655200.55
United States,USA,2011,YR2011,590983675.00,1222571352.00,8164451646.00,4326635,57123701.65
United States,USA,2012,YR2012,5692995246.00,1200739706.00,8481450408.00,4270884,56628804.85
United States,USA,2013,YR2013,5676035631.00,1263791912.00,8713261573.00,4287114,57984073.56
United States,USA,2014,YR2014,5621145713.00,1295382709.00,8754308954.00,4319156,59116385.16
United States,USA,2015,YR2015,540839254.00,1322859321.00,8716935867.00,4297048,58483061.91
United States,USA,2016,YR2016,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,
